¥éËweb-scraper-order,web-scraper-start-url,notelink,notelink-href,familyname,notename
1574391517-736,https://www.fragrantica.com/notes/,Patchouli,https://www.fragrantica.com/notes/Patchouli-34.html,WOODS AND MOSSES,Patchouli
1574391846-816,https://www.fragrantica.com/notes/,Rainbow Sorbet,https://www.fragrantica.com/notes/Rainbow-Sorbet-584.html,SWEETS AND GOURMAND SMELLS,Rainbow Sorbet
1574390622-538,https://www.fragrantica.com/notes/,Javanol,https://www.fragrantica.com/notes/Javanol-915.html,SYNTHETIC,Javanol
1574392696-1034,https://www.fragrantica.com/notes/,Bran,https://www.fragrantica.com/notes/Bran-655.html,"GREENS, HERBS AND FOUGERES",Bran
1574392374-950,https://www.fragrantica.com/notes/,Saw palmetto,https://www.fragrantica.com/notes/Saw-palmetto-685.html,"GREENS, HERBS AND FOUGERES",Saw palmetto
1574392252-926,https://www.fragrantica.com/notes/,Yarrow,https://www.fragrantica.com/notes/Yarrow-681.html,"GREENS, HERBS AND FOUGERES",Yarrow
1574392640-1018,https://www.fragrantica.com/notes/,Crithmum,https://www.fragrantica.com/notes/Crithmum-808.html,"GREENS, HERBS AND FOUGERES",Crithmum
1574390738-574,https://www.fragrantica.com/notes/,Cashmeran,https://www.fragrantica.com/notes/Cashmeran-348.html,SYNTHETIC,Cashmeran
1574390552-517,https://www.fragrantica.com/notes/,Peat,https://www.fragrantica.com/notes/Peat-479.html,SYNTHETIC,Peat
1574390525-509,https://www.fragrantica.com/notes/,Salt,https://www.fragrantica.com/notes/Salt-231.html,SYNTHETIC,Salt
1574393791-1326,https://www.fragrantica.com/notes/,Persimmon,https://www.fragrantica.com/notes/Persimmon-341.html,"FRUITS, VEGETABLES AND NUTS",Persimmon
1574393931-1368,https://www.fragrantica.com/notes/,Fig,https://www.fragrantica.com/notes/Fig-247.html,"FRUITS, VEGETABLES AND NUTS",Fig
1574392633-1016,https://www.fragrantica.com/notes/,Dried Fallen Leaves,https://www.fragrantica.com/notes/Dried-Fallen-Leaves-913.html,"GREENS, HERBS AND FOUGERES",Dried Fallen Leaves
1574390932-634,https://www.fragrantica.com/notes/,Beer/Ale,https://www.fragrantica.com/notes/Beer-Ale-965.html,BEVERAGES,Beer/Ale
1574391646-769,https://www.fragrantica.com/notes/,Driftwood,https://www.fragrantica.com/notes/Driftwood-503.html,WOODS AND MOSSES,Driftwood
1574391072-674,https://www.fragrantica.com/notes/,Ambergris,https://www.fragrantica.com/notes/Ambergris-524.html,"MUSK, AMBER, ANIMALIC SMELLS",Ambergris
1574392565-997,https://www.fragrantica.com/notes/,Ivy,https://www.fragrantica.com/notes/Ivy-192.html,"GREENS, HERBS AND FOUGERES",Ivy
1574393409-1226,https://www.fragrantica.com/notes/,Encian,https://www.fragrantica.com/notes/Encian-397.html,FLOWERS,Encian
1574390914-628,https://www.fragrantica.com/notes/,Cappuccino,https://www.fragrantica.com/notes/Cappuccino-246.html,BEVERAGES,Cappuccino
1574394173-1434,https://www.fragrantica.com/notes/,Citron,https://www.fragrantica.com/notes/Citron-373.html,CITRUS SMELLS,Citron
1574394061-1404,https://www.fragrantica.com/notes/,Apple,https://www.fragrantica.com/notes/Apple-146.html,"FRUITS, VEGETABLES AND NUTS",Apple
1574390541-514,https://www.fragrantica.com/notes/,Plastic,https://www.fragrantica.com/notes/Plastic-954.html,SYNTHETIC,Plastic
1574393227-1177,https://www.fragrantica.com/notes/,Larkspur,https://www.fragrantica.com/notes/Larkspur-972.html,FLOWERS,Larkspur
1574391547-744,https://www.fragrantica.com/notes/,Nootka,https://www.fragrantica.com/notes/Nootka-969.html,WOODS AND MOSSES,Nootka
1574390669-553,https://www.fragrantica.com/notes/,Gasoline,https://www.fragrantica.com/notes/Gasoline-845.html,SYNTHETIC,Gasoline
1574394032-1395,https://www.fragrantica.com/notes/,Black Currant Blossom,https://www.fragrantica.com/notes/Black-Currant-Blossom-133.html,"FRUITS, VEGETABLES AND NUTS",Black Currant Blossom
1574393987-1381,https://www.fragrantica.com/notes/,Chestnut,https://www.fragrantica.com/notes/Chestnut-578.html,"FRUITS, VEGETABLES AND NUTS",Chestnut
1574392319-940,https://www.fragrantica.com/notes/,Tansy,https://www.fragrantica.com/notes/Tansy-910.html,"GREENS, HERBS AND FOUGERES",Tansy
1574393355-1211,https://www.fragrantica.com/notes/,Green Nard,https://www.fragrantica.com/notes/Green-Nard-778.html,FLOWERS,Green Nard
1574390577-524,https://www.fragrantica.com/notes/,Mountain Air,https://www.fragrantica.com/notes/Mountain-Air-679.html,SYNTHETIC,Mountain Air
1574391737-788,https://www.fragrantica.com/notes/,Black hemlock or Tsuga,https://www.fragrantica.com/notes/Black-hemlock-or-Tsuga-565.html,WOODS AND MOSSES,Black hemlock or Tsuga
1574391855-818,https://www.fragrantica.com/notes/,Praline,https://www.fragrantica.com/notes/Praline-198.html,SWEETS AND GOURMAND SMELLS,Praline
1574390907-626,https://www.fragrantica.com/notes/,Chinotto,https://www.fragrantica.com/notes/Chinotto-803.html,BEVERAGES,Chinotto
1574391751-792,https://www.fragrantica.com/notes/,Bark,https://www.fragrantica.com/notes/Bark-709.html,WOODS AND MOSSES,Bark
1574393874-1351,https://www.fragrantica.com/notes/,Jobs tears (Yi Yi Ren),https://www.fragrantica.com/notes/Jobs-tears-Yi-Yi-Ren-916.html,"FRUITS, VEGETABLES AND NUTS",Jobs tears (Yi Yi Ren)
1574393763-1318,https://www.fragrantica.com/notes/,Pumpkin,https://www.fragrantica.com/notes/Pumpkin-509.html,"FRUITS, VEGETABLES AND NUTS",Pumpkin
1574393537-1252,https://www.fragrantica.com/notes/,Chinotto blossom,https://www.fragrantica.com/notes/Chinotto-blossom-867.html,FLOWERS,Chinotto blossom
1574390456-490,https://www.fragrantica.com/notes/,Wool,https://www.fragrantica.com/notes/Wool-830.html,SYNTHETIC,Wool
1574391985-856,https://www.fragrantica.com/notes/,Caramel,https://www.fragrantica.com/notes/Caramel-183.html,SWEETS AND GOURMAND SMELLS,Caramel
1574391540-742,https://www.fragrantica.com/notes/,Moss,https://www.fragrantica.com/notes/Oakmoss-39.html,WOODS AND MOSSES,Moss
1574393000-1114,https://www.fragrantica.com/notes/,Rosa rubiginosa,https://www.fragrantica.com/notes/Rosa-rubiginosa-678.html,FLOWERS,Rosa rubiginosa
1574392058-876,https://www.fragrantica.com/notes/,Tonka Bean,https://www.fragrantica.com/notes/Tonka-Bean-73.html,SPICES,Tonka Bean
1574393150-1157,https://www.fragrantica.com/notes/,Mimusops elengi,https://www.fragrantica.com/notes/Mimusops-elengi-740.html,FLOWERS,Mimusops elengi
1574392668-1026,https://www.fragrantica.com/notes/,Carnation leaves,https://www.fragrantica.com/notes/Carnation-leaves-793.html,"GREENS, HERBS AND FOUGERES",Carnation leaves
1574393851-1344,https://www.fragrantica.com/notes/,Mangosteen,https://www.fragrantica.com/notes/Mangosteen-303.html,"FRUITS, VEGETABLES AND NUTS",Mangosteen
1574390786-589,https://www.fragrantica.com/notes/,White wine,https://www.fragrantica.com/notes/White-wine-543.html,BEVERAGES,White wine
1574390528-510,https://www.fragrantica.com/notes/,Rain Notes,https://www.fragrantica.com/notes/Rain-Notes-800.html,SYNTHETIC,Rain Notes
1574393567-1260,https://www.fragrantica.com/notes/,Carambola blossom,https://www.fragrantica.com/notes/Carambola-blossom-675.html,FLOWERS,Carambola blossom
1574392724-1042,https://www.fragrantica.com/notes/,Tobacco Leaves,https://www.fragrantica.com/notes/Banana-Leaf-124.html,"GREENS, HERBS AND FOUGERES",Tobacco Leaves
1574391786-802,https://www.fragrantica.com/notes/,Almond tree,https://www.fragrantica.com/notes/Almond-tree-327.html,WOODS AND MOSSES,Almond tree
1574391250-712,https://www.fragrantica.com/notes/,Woody Notes,https://www.fragrantica.com/notes/Woody-Notes-315.html,WOODS AND MOSSES,Woody Notes
1574394038-1397,https://www.fragrantica.com/notes/,Beetroot,https://www.fragrantica.com/notes/Beetroot-817.html,"FRUITS, VEGETABLES AND NUTS",Beetroot
1574392159-904,https://www.fragrantica.com/notes/,Fennel,https://www.fragrantica.com/notes/Fennel-398.html,SPICES,Fennel
1574390837-606,https://www.fragrantica.com/notes/,Masala Chai,https://www.fragrantica.com/notes/Masala-Chai-214.html,BEVERAGES,Masala Chai
1574392700-1035,https://www.fragrantica.com/notes/,Borneol,https://www.fragrantica.com/notes/Borneol-413.html,"GREENS, HERBS AND FOUGERES",Borneol
1574391616-760,https://www.fragrantica.com/notes/,Incienso,https://www.fragrantica.com/notes/Incienso-893.html,WOODS AND MOSSES,Incienso
1574393154-1158,https://www.fragrantica.com/notes/,Mimosa,https://www.fragrantica.com/notes/Mimosa-167.html,FLOWERS,Mimosa
1574393565-1259,https://www.fragrantica.com/notes/,Carnation,https://www.fragrantica.com/notes/Carnation-7.html,FLOWERS,Carnation
1574393845-1342,https://www.fragrantica.com/notes/,Marian Plum,https://www.fragrantica.com/notes/Marian-Plum-1007.html,"FRUITS, VEGETABLES AND NUTS",Marian Plum
1574394143-1425,https://www.fragrantica.com/notes/,Lemon,https://www.fragrantica.com/notes/Lemon-77.html,CITRUS SMELLS,Lemon
1574393702-1300,https://www.fragrantica.com/notes/,Tomato,https://www.fragrantica.com/notes/Tomato-252.html,"FRUITS, VEGETABLES AND NUTS",Tomato
1574390816-599,https://www.fragrantica.com/notes/,Rum,https://www.fragrantica.com/notes/Rum-201.html,BEVERAGES,Rum
1574391506-733,https://www.fragrantica.com/notes/,Pine Needle,https://www.fragrantica.com/notes/Pine-Tree-204.html,WOODS AND MOSSES,Pine Needle
1574392847-1074,https://www.fragrantica.com/notes/,Datura,https://www.fragrantica.com/notes/Datura-378.html,WHITE FLOWERS,Datura
1574393064-1134,https://www.fragrantica.com/notes/,Pear Blossom,https://www.fragrantica.com/notes/Pear-Blossom-526.html,FLOWERS,Pear Blossom
1574393820-1335,https://www.fragrantica.com/notes/,Olive,https://www.fragrantica.com/notes/Olive-263.html,"FRUITS, VEGETABLES AND NUTS",Olive
1574392192-913,https://www.fragrantica.com/notes/,Clove Leaf,https://www.fragrantica.com/notes/Clove-Leaf-911.html,SPICES,Clove Leaf
1574391899-831,https://www.fragrantica.com/notes/,Maple syrup,https://www.fragrantica.com/notes/Maple-syrup-447.html,SWEETS AND GOURMAND SMELLS,Maple syrup
1574393602-1272,https://www.fragrantica.com/notes/,Bergamot Blossom,https://www.fragrantica.com/notes/Bergamot-Blossom-680.html,FLOWERS,Bergamot Blossom
1574393813-1333,https://www.fragrantica.com/notes/,Papaya,https://www.fragrantica.com/notes/Papaya-227.html,"FRUITS, VEGETABLES AND NUTS",Papaya
1574393593-1269,https://www.fragrantica.com/notes/,Blue Poppy,https://www.fragrantica.com/notes/Blue-Poppy-342.html,FLOWERS,Blue Poppy
1574391685-777,https://www.fragrantica.com/notes/,Cedarwood,https://www.fragrantica.com/notes/Cedar-41.html,WOODS AND MOSSES,Cedarwood
1574390651-547,https://www.fragrantica.com/notes/,Hina,https://www.fragrantica.com/notes/Hina-775.html,SYNTHETIC,Hina
1574391571-748,https://www.fragrantica.com/notes/,Mesquite Wood,https://www.fragrantica.com/notes/Mesquite-Wood-1016.html,WOODS AND MOSSES,Mesquite Wood
1574392275-932,https://www.fragrantica.com/notes/,Tulsi,https://www.fragrantica.com/notes/Tulsi-474.html,"GREENS, HERBS AND FOUGERES",Tulsi
1574392647-1020,https://www.fragrantica.com/notes/,Clary Sage,https://www.fragrantica.com/notes/Clary-Sage-164.html,"GREENS, HERBS AND FOUGERES",Clary Sage
1574393650-1285,https://www.fragrantica.com/notes/,Almond Blossom,https://www.fragrantica.com/notes/Almond-Blossom-131.html,FLOWERS,Almond Blossom
1574391865-821,https://www.fragrantica.com/notes/,Panna cotta,https://www.fragrantica.com/notes/Panna-cotta-500.html,SWEETS AND GOURMAND SMELLS,Panna cotta
1574393662-1288,https://www.fragrantica.com/notes/,Acacia,https://www.fragrantica.com/notes/Acacia-730.html,FLOWERS,Acacia
1574392395-955,https://www.fragrantica.com/notes/,Rue,https://www.fragrantica.com/notes/Rue-841.html,"GREENS, HERBS AND FOUGERES",Rue
1574390467-493,https://www.fragrantica.com/notes/,Vinyl,https://www.fragrantica.com/notes/Vinyl-499.html,SYNTHETIC,Vinyl
1574393251-1185,https://www.fragrantica.com/notes/,Kiwi blossom,https://www.fragrantica.com/notes/Kiwi-blossom-443.html,FLOWERS,Kiwi blossom
1574393500-1242,https://www.fragrantica.com/notes/,Cotton Flower,https://www.fragrantica.com/notes/Cotton-Flower-301.html,FLOWERS,Cotton Flower
1574392496-980,https://www.fragrantica.com/notes/,Melilot or Sweet Clover,https://www.fragrantica.com/notes/Melilot-or-Sweet-Clover-571.html,"GREENS, HERBS AND FOUGERES",Melilot or Sweet Clover
1574391051-668,https://www.fragrantica.com/notes/,Ambrocenide (Symrise),https://www.fragrantica.com/notes/Ambrocenide-Symrise-822.html,"MUSK, AMBER, ANIMALIC SMELLS",Ambrocenide (Symrise)
1574392116-891,https://www.fragrantica.com/notes/,Black Pepper,https://www.fragrantica.com/notes/Pepper-158.html,SPICES,Black Pepper
1574391622-762,https://www.fragrantica.com/notes/,Hinoki Wood,https://www.fragrantica.com/notes/Hinoki-Wood-32.html,WOODS AND MOSSES,Hinoki Wood
1574393582-1265,https://www.fragrantica.com/notes/,Buddleia,https://www.fragrantica.com/notes/Buddleia-604.html,FLOWERS,Buddleia
1574393420-1229,https://www.fragrantica.com/notes/,Edelweiss,https://www.fragrantica.com/notes/Edelweiss-401.html,FLOWERS,Edelweiss
1574392636-1017,https://www.fragrantica.com/notes/,Davana,https://www.fragrantica.com/notes/Davana-907.html,"GREENS, HERBS AND FOUGERES",Davana
1574390535-512,https://www.fragrantica.com/notes/,Pomarose,https://www.fragrantica.com/notes/Pomarose-872.html,SYNTHETIC,Pomarose
1574393466-1236,https://www.fragrantica.com/notes/,Daphne,https://www.fragrantica.com/notes/Daphne-625.html,FLOWERS,Daphne
1574390898-623,https://www.fragrantica.com/notes/,Cognac,https://www.fragrantica.com/notes/Cognac-523.html,BEVERAGES,Cognac
1574391187-702,https://www.fragrantica.com/notes/,Choya Loban,https://www.fragrantica.com/notes/Choya-Loban-476.html,RESINS AND BALSAMS,Choya Loban
1574394052-1401,https://www.fragrantica.com/notes/,Apricot,https://www.fragrantica.com/notes/Apricot-175.html,"FRUITS, VEGETABLES AND NUTS",Apricot
1574393771-1320,https://www.fragrantica.com/notes/,Plum,https://www.fragrantica.com/notes/Plum-171.html,"FRUITS, VEGETABLES AND NUTS",Plum
1574392911-1088,https://www.fragrantica.com/notes/,Wallflower,https://www.fragrantica.com/notes/Wallflower-235.html,FLOWERS,Wallflower
1574391729-786,https://www.fragrantica.com/notes/,Blackwood,https://www.fragrantica.com/notes/Blackwood-494.html,WOODS AND MOSSES,Blackwood
1574390917-629,https://www.fragrantica.com/notes/,Campari,https://www.fragrantica.com/notes/Campari-388.html,BEVERAGES,Campari
1574393075-1137,https://www.fragrantica.com/notes/,Passion Flower,https://www.fragrantica.com/notes/Passion-Flower-162.html,FLOWERS,Passion Flower
1574393234-1180,https://www.fragrantica.com/notes/,Lamduan Flower,https://www.fragrantica.com/notes/Lamduan-Flower-855.html,FLOWERS,Lamduan Flower
1574391024-660,https://www.fragrantica.com/notes/,Castoreum,https://www.fragrantica.com/notes/Castoreum-102.html,"MUSK, AMBER, ANIMALIC SMELLS",Castoreum
1574391223-707,https://www.fragrantica.com/notes/,Benzoin,https://www.fragrantica.com/notes/Benzoin-69.html,RESINS AND BALSAMS,Benzoin
1574392099-887,https://www.fragrantica.com/notes/,Pimento Seeds,https://www.fragrantica.com/notes/Pimento-Seeds-940.html,SPICES,Pimento Seeds
1574394045-1399,https://www.fragrantica.com/notes/,Banana,https://www.fragrantica.com/notes/Banana-123.html,"FRUITS, VEGETABLES AND NUTS",Banana
1574391789-803,https://www.fragrantica.com/notes/,Alder,https://www.fragrantica.com/notes/Alder-900.html,WOODS AND MOSSES,Alder
1574391876-824,https://www.fragrantica.com/notes/,Milk Mousse,https://www.fragrantica.com/notes/Milk-Mousse-568.html,SWEETS AND GOURMAND SMELLS,Milk Mousse
1574392964-1102,https://www.fragrantica.com/notes/,Sour Cherry Blossom,https://www.fragrantica.com/notes/Sour-Cherry-Blossom-207.html,FLOWERS,Sour Cherry Blossom
1574392787-1059,https://www.fragrantica.com/notes/,Syringa,https://www.fragrantica.com/notes/Syringa-310.html,WHITE FLOWERS,Syringa
1574392898-1085,https://www.fragrantica.com/notes/,White Ginger Lily,https://www.fragrantica.com/notes/White-Ginger-Lily-739.html,FLOWERS,White Ginger Lily
1574393644-1283,https://www.fragrantica.com/notes/,Alyssum,https://www.fragrantica.com/notes/Alyssum-609.html,FLOWERS,Alyssum
1574392958-1100,https://www.fragrantica.com/notes/,Spiraea,https://www.fragrantica.com/notes/Spiraea-638.html,FLOWERS,Spiraea
1574391168-699,https://www.fragrantica.com/notes/,Coal Tar,https://www.fragrantica.com/notes/Coal-Tar-941.html,RESINS AND BALSAMS,Coal Tar
1574392586-1003,https://www.fragrantica.com/notes/,Guao or Maiden Plum,https://www.fragrantica.com/notes/Guao-or-Maiden-Plum-812.html,"GREENS, HERBS AND FOUGERES",Guao or Maiden Plum
1574394004-1386,https://www.fragrantica.com/notes/,Cassowary fruit,https://www.fragrantica.com/notes/Cassowary-fruit-444.html,"FRUITS, VEGETABLES AND NUTS",Cassowary fruit
1574393489-1240,https://www.fragrantica.com/notes/,Cyclamen,https://www.fragrantica.com/notes/Cyclamen-166.html,FLOWERS,Cyclamen
1574390958-642,https://www.fragrantica.com/notes/,Starfish,https://www.fragrantica.com/notes/Starfish-217.html,"MUSK, AMBER, ANIMALIC SMELLS",Starfish
1574392997-1113,https://www.fragrantica.com/notes/,Rose,https://www.fragrantica.com/notes/Rose-105.html,FLOWERS,Rose
1574392130-896,https://www.fragrantica.com/notes/,Angelica Seeds,https://www.fragrantica.com/notes/Mustard-Seed-851.html,SPICES,Angelica Seeds
1574391815-810,https://www.fragrantica.com/notes/,Sugar,https://www.fragrantica.com/notes/Sugar-200.html,SWEETS AND GOURMAND SMELLS,Sugar
1574392323-941,https://www.fragrantica.com/notes/,Sweet Grass,https://www.fragrantica.com/notes/Sweet-Grass-943.html,"GREENS, HERBS AND FOUGERES",Sweet Grass
1574393119-1148,https://www.fragrantica.com/notes/,Nerium Oleander,https://www.fragrantica.com/notes/Nerium-Oleander-304.html,FLOWERS,Nerium Oleander
1574392953-1098,https://www.fragrantica.com/notes/,Strelitzia,https://www.fragrantica.com/notes/Strelitzia-283.html,FLOWERS,Strelitzia
1574393130-1151,https://www.fragrantica.com/notes/,Narcissus,https://www.fragrantica.com/notes/Narcissus-18.html,FLOWERS,Narcissus
1574394084-1410,https://www.fragrantica.com/notes/,Tangelo,https://www.fragrantica.com/notes/Tangelo-935.html,CITRUS SMELLS,Tangelo
1574390858-609,https://www.fragrantica.com/notes/,Madeira,https://www.fragrantica.com/notes/Madeira-743.html,BEVERAGES,Madeira
1574393675-1292,https://www.fragrantica.com/notes/,Winterberry,https://www.fragrantica.com/notes/Winterberry-438.html,"FRUITS, VEGETABLES AND NUTS",Winterberry
1574391532-740,https://www.fragrantica.com/notes/,Palisander Rosewood,https://www.fragrantica.com/notes/Palisander-Rosewood-38.html,WOODS AND MOSSES,Palisander Rosewood
1574391892-829,https://www.fragrantica.com/notes/,Marmalade,https://www.fragrantica.com/notes/Marmalade-268.html,SWEETS AND GOURMAND SMELLS,Marmalade
1574393656-1287,https://www.fragrantica.com/notes/,Acerola blossom,https://www.fragrantica.com/notes/Acerola-blossom-674.html,FLOWERS,Acerola blossom
1574392730-1044,https://www.fragrantica.com/notes/,Avocado,https://www.fragrantica.com/notes/Avocado-270.html,"GREENS, HERBS AND FOUGERES",Avocado
1574390875-615,https://www.fragrantica.com/notes/,Hi-Fi,https://www.fragrantica.com/notes/Hi-Fi-758.html,BEVERAGES,Hi-Fi
1574392853-1075,https://www.fragrantica.com/notes/,Carissa,https://www.fragrantica.com/notes/Carissa-555.html,WHITE FLOWERS,Carissa
1574393517-1246,https://www.fragrantica.com/notes/,Coffee blossom,https://www.fragrantica.com/notes/Coffee-blossom-561.html,FLOWERS,Coffee blossom
1574392475-974,https://www.fragrantica.com/notes/,Olive Leaf,https://www.fragrantica.com/notes/Olive-Leaf-264.html,"GREENS, HERBS AND FOUGERES",Olive Leaf
1574392617-1011,https://www.fragrantica.com/notes/,Ginkgo,https://www.fragrantica.com/notes/Ginkgo-688.html,"GREENS, HERBS AND FOUGERES",Ginkgo
1574392184-911,https://www.fragrantica.com/notes/,Coffee,https://www.fragrantica.com/notes/Coffee-139.html,SPICES,Coffee
1574391827-814,https://www.fragrantica.com/notes/,Rose Jam,https://www.fragrantica.com/notes/Rose-Jam-1002.html,SWEETS AND GOURMAND SMELLS,Rose Jam
1574391977-854,https://www.fragrantica.com/notes/,Cookie,https://www.fragrantica.com/notes/Cookie-945.html,SWEETS AND GOURMAND SMELLS,Cookie
1574390593-529,https://www.fragrantica.com/notes/,Metallic notes,https://www.fragrantica.com/notes/Metallic-notes-458.html,SYNTHETIC,Metallic notes
1574393097-1142,https://www.fragrantica.com/notes/,Orchid Cactus,https://www.fragrantica.com/notes/Orchid-Cactus-860.html,FLOWERS,Orchid Cactus
1574393624-1279,https://www.fragrantica.com/notes/,Apple Blossom,https://www.fragrantica.com/notes/Apple-Blossom-285.html,FLOWERS,Apple Blossom
1574393412-1227,https://www.fragrantica.com/notes/,Elderflower,https://www.fragrantica.com/notes/Elderflower-140.html,FLOWERS,Elderflower
1574393936-1369,https://www.fragrantica.com/notes/,Dried Fruits,https://www.fragrantica.com/notes/Dried-Fruits-230.html,"FRUITS, VEGETABLES AND NUTS",Dried Fruits
1574392975-1106,https://www.fragrantica.com/notes/,Santolina,https://www.fragrantica.com/notes/Santolina-649.html,FLOWERS,Santolina
1574391329-719,https://www.fragrantica.com/notes/,Teak Wood,https://www.fragrantica.com/notes/Teak-Wood-266.html,WOODS AND MOSSES,Teak Wood
1574393756-1316,https://www.fragrantica.com/notes/,Raspberry,https://www.fragrantica.com/notes/Raspberry-174.html,"FRUITS, VEGETABLES AND NUTS",Raspberry
1574393050-1130,https://www.fragrantica.com/notes/,Petunia,https://www.fragrantica.com/notes/Petunia-736.html,FLOWERS,Petunia
1574392937-1094,https://www.fragrantica.com/notes/,Tamarisk,https://www.fragrantica.com/notes/Tamarisk-773.html,FLOWERS,Tamarisk
1574390684-558,https://www.fragrantica.com/notes/,Fabric,https://www.fragrantica.com/notes/Fabric-953.html,SYNTHETIC,Fabric
1574393996-1384,https://www.fragrantica.com/notes/,Chayote,https://www.fragrantica.com/notes/Chayote-774.html,"FRUITS, VEGETABLES AND NUTS",Chayote
1574393712-1303,https://www.fragrantica.com/notes/,Star apple,https://www.fragrantica.com/notes/Star-apple-428.html,"FRUITS, VEGETABLES AND NUTS",Star apple
1574392909-1087,https://www.fragrantica.com/notes/,Water Hyacinth,https://www.fragrantica.com/notes/Water-Hyacinth-216.html,FLOWERS,Water Hyacinth
1574394178-1436,https://www.fragrantica.com/notes/,Blood Orange,https://www.fragrantica.com/notes/Blood-Orange-286.html,CITRUS SMELLS,Blood Orange
1574393927-1367,https://www.fragrantica.com/notes/,Fig Leaf,https://www.fragrantica.com/notes/Fig-Leaf-150.html,"FRUITS, VEGETABLES AND NUTS",Fig Leaf
1574391396-724,https://www.fragrantica.com/notes/,Sequoia,https://www.fragrantica.com/notes/Sequoia-309.html,WOODS AND MOSSES,Sequoia
1574391371-722,https://www.fragrantica.com/notes/,Spruce,https://www.fragrantica.com/notes/Spruce-481.html,WOODS AND MOSSES,Spruce
1574393296-1195,https://www.fragrantica.com/notes/,"Hoya carnosa, wax plant",https://www.fragrantica.com/notes/Hoya-carnosa-wax-plant-551.html,FLOWERS,"Hoya carnosa, wax plant"
1574393807-1331,https://www.fragrantica.com/notes/,Pea,https://www.fragrantica.com/notes/Pea-637.html,"FRUITS, VEGETABLES AND NUTS",Pea
1574393185-1167,https://www.fragrantica.com/notes/,Lydia Broom,https://www.fragrantica.com/notes/Lydia-Broom-368.html,FLOWERS,Lydia Broom
1574392890-1083,https://www.fragrantica.com/notes/,Wisteria,https://www.fragrantica.com/notes/Wisteria-245.html,FLOWERS,Wisteria
1574392024-867,https://www.fragrantica.com/notes/,Bread,https://www.fragrantica.com/notes/Bread-623.html,SWEETS AND GOURMAND SMELLS,Bread
1574393182-1166,https://www.fragrantica.com/notes/,Magnolia,https://www.fragrantica.com/notes/Magnolia-147.html,FLOWERS,Magnolia
1574393715-1304,https://www.fragrantica.com/notes/,Squash,https://www.fragrantica.com/notes/Squash-1018.html,"FRUITS, VEGETABLES AND NUTS",Squash
1574393351-1210,https://www.fragrantica.com/notes/,Green Tea Flower,https://www.fragrantica.com/notes/Green-Tea-Flower-864.html,FLOWERS,Green Tea Flower
1574392711-1039,https://www.fragrantica.com/notes/,Bay essence,https://www.fragrantica.com/notes/Bay-essence-710.html,"GREENS, HERBS AND FOUGERES",Bay essence
1574391272-715,https://www.fragrantica.com/notes/,Vetiver,https://www.fragrantica.com/notes/Vetiver-2.html,WOODS AND MOSSES,Vetiver
1574394165-1432,https://www.fragrantica.com/notes/,Clementine,https://www.fragrantica.com/notes/Clementine-84.html,CITRUS SMELLS,Clementine
1574393906-1361,https://www.fragrantica.com/notes/,Grape Seed,https://www.fragrantica.com/notes/Grape-Seed-937.html,"FRUITS, VEGETABLES AND NUTS",Grape Seed
1574390798-593,https://www.fragrantica.com/notes/,Tonic Water,https://www.fragrantica.com/notes/Tonic-Water-660.html,BEVERAGES,Tonic Water
1574391141-693,https://www.fragrantica.com/notes/,Gurjun balsam,https://www.fragrantica.com/notes/Gurjun-balsam-536.html,RESINS AND BALSAMS,Gurjun balsam
1574393877-1352,https://www.fragrantica.com/notes/,Japanese Loquat,https://www.fragrantica.com/notes/Japanese-Loquat-550.html,"FRUITS, VEGETABLES AND NUTS",Japanese Loquat
1574391830-815,https://www.fragrantica.com/notes/,Rice Pudding,https://www.fragrantica.com/notes/Rice-Pudding-944.html,SWEETS AND GOURMAND SMELLS,Rice Pudding
1574393784-1324,https://www.fragrantica.com/notes/,Pinot Noir grapes,https://www.fragrantica.com/notes/Pinot-Noir-grapes-721.html,"FRUITS, VEGETABLES AND NUTS",Pinot Noir grapes
1574393038-1126,https://www.fragrantica.com/notes/,Plum blossom,https://www.fragrantica.com/notes/Plum-blossom-385.html,FLOWERS,Plum blossom
1574394176-1435,https://www.fragrantica.com/notes/,Chinotto,https://www.fragrantica.com/notes/Chinotto-866.html,CITRUS SMELLS,Chinotto
1574391675-775,https://www.fragrantica.com/notes/,Cocobolo,https://www.fragrantica.com/notes/Cocobolo-302.html,WOODS AND MOSSES,Cocobolo
1574390566-521,https://www.fragrantica.com/notes/,Ozonic notes,https://www.fragrantica.com/notes/Ozonic-notes-669.html,SYNTHETIC,Ozonic notes
1574393047-1129,https://www.fragrantica.com/notes/,Phlox,https://www.fragrantica.com/notes/Phlox-863.html,FLOWERS,Phlox
1574390949-639,https://www.fragrantica.com/notes/,Tolu Balsam,https://www.fragrantica.com/notes/Tolu-Balsam-71.html,"MUSK, AMBER, ANIMALIC SMELLS",Tolu Balsam
1574393916-1364,https://www.fragrantica.com/notes/,Fruity Notes,https://www.fragrantica.com/notes/Fruity-Notes-320.html,"FRUITS, VEGETABLES AND NUTS",Fruity Notes
1574392122-893,https://www.fragrantica.com/notes/,Oily Notes,https://www.fragrantica.com/notes/Oily-Notes-731.html,SPICES,Oily Notes
1574393887-1355,https://www.fragrantica.com/notes/,Hazelnut,https://www.fragrantica.com/notes/Hazelnut-141.html,"FRUITS, VEGETABLES AND NUTS",Hazelnut
